Unnamed: 0,Student ID,Well versed with the subject,Explains concepts in an understandable way,Use of presentations,Degree of difficulty of assignments,Solves doubts willingly,Structuring of the course,Provides support for students going above and beyond,Course recommendation based on relevance,Department,Course,Instructor,Semester,Academic Year,Gender,Attendance (%),Study Hours,GPA,Overall Satisfaction,Satisfaction Label,Student Feedback,Feedback Length,Character Count,Word Count,Clean Feedback,Sentiment
505,625,10,7,6,7,9,6,3,3,Software Engineering,Machine Learning,Dr. Sarah Johnson,2024 Semester 2,Year 3,Female,81,9,3.3,6.38,Neutral,Teaching was satisfactory although the pace was sometimes fast.,9,63,9,teaching satisfactory although pace sometimes fast,Neutral
347,830,9,7,7,10,7,8,6,4,Software Engineering,Cloud Computing,Dr. James Mwangi,2025 Semester 1,Year 3,Female,74,20,3.45,7.25,Neutral,Teaching was satisfactory although the pace was sometimes fast.,9,63,9,teaching satisfactory although pace sometimes fast,Neutral
472,91,6,5,4,2,5,8,3,3,Computer Science,Operating Systems,Dr. Grace Njeri,2023 Semester 2,Year 3,Female,51,21,2.0,4.5,Unsatisfied,I would not recommend this course without improvements.,8,55,8,would recommend course without improvement,Neutral
230,953,5,10,8,10,6,4,6,4,Data Science,Computer Networks,Dr. James Mwangi,2025 Semester 1,Year 3,Male,50,19,3.87,6.62,Neutral,Assignments were manageable but could include more practical work.,9,66,9,assignment manageable could include practical work,Positive
189,211,7,4,4,3,7,8,7,10,Computer Science,Operating Systems,Dr. Sarah Johnson,2025 Semester 1,Year 2,Female,98,4,2.33,6.25,Neutral,Assignments were manageable but could include more practical work.,9,66,9,assignment manageable could include practical work,Positive
224,883,7,4,4,2,8,6,7,4,Software Engineering,Data Mining,Dr. James Mwangi,2023 Semester 2,Year 3,Female,99,8,2.47,5.25,Unsatisfied,Feedback on assessments was delayed.,5,36,5,feedback assessment delayed,Neutral
384,705,9,3,6,3,3,5,1,2,Cyber Security,Artificial Intelligence,Dr. Sarah Johnson,2024 Semester 1,Year 3,Male,47,13,2.53,4.0,Unsatisfied,There were too few opportunities to ask questions.,8,50,8,opportunity ask question,Neutral
376,660,5,7,7,3,10,3,3,4,Cyber Security,Data Mining,Prof. Linda Wanjiru,2024 Semester 1,Year 4,Male,57,4,2.08,5.25,Unsatisfied,More practical examples are needed during lectures.,7,51,7,practical example needed lecture,Positive
282,777,8,6,4,6,4,7,10,1,Information Technology,Database Systems,Dr. James Mwangi,2023 Semester 2,Year 2,Male,47,9,2.25,5.75,Unsatisfied,There were too few opportunities to ask questions.,8,50,8,opportunity ask question,Neutral
957,397,10,7,8,6,6,6,2,6,Computer Science,Machine Learning,Prof. Linda Wanjiru,2025 Semester 1,Year 2,Male,70,9,3.97,6.38,Neutral,Overall the learning experience was acceptable.,6,47,6,overall learning experience acceptable,Neutral
632,594,7,2,7,6,7,2,3,6,Computer Science,Database Systems,Prof. Linda Wanjiru,2023 Semester 2,Year 2,Female,68,22,2.63,5.0,Unsatisfied,The lecturer moved too quickly through difficult topics.,8,56,8,lecturer moved quickly difficult topic,Neutral
627,311,7,5,6,8,4,9,8,9,Information Technology,Computer Networks,Prof. Michael Kimani,2024 Semester 1,Year 2,Female,97,18,2.23,7.0,Neutral,The presentations were useful but could be more interactive.,9,60,9,presentation useful could interactive,Positive
972,643,9,7,7,7,2,4,3,7,Information Technology,Cloud Computing,Dr. Sarah Johnson,2024 Semester 2,Year 3,Female,50,12,2.21,5.75,Unsatisfied,The lecturer moved too quickly through difficult topics.,8,56,8,lecturer moved quickly difficult topic,Neutral
744,653,5,6,5,6,6,3,9,2,Information Technology,Operating Systems,Dr. Grace Njeri,2025 Semester 1,Year 3,Female,87,10,3.44,5.25,Unsatisfied,I would not recommend this course without improvements.,8,55,8,would recommend course without improvement,Neutral
258,536,10,10,4,7,8,7,6,2,Software Engineering,Data Mining,Dr. Sarah Johnson,2024 Semester 1,Year 4,Male,93,11,3.71,6.75,Neutral,The course was generally good but some topics needed more explanation.,11,70,11,course generally good topic needed explanation,Positive
358,734,9,8,5,3,10,1,8,3,Computer Science,Data Mining,Dr. Grace Njeri,2025 Semester 1,Year 4,Female,86,7,2.51,5.88,Unsatisfied,Course organization could be significantly improved.,6,52,6,course organization could significantly improved,Positive
709,887,6,9,5,8,9,7,6,2,Software Engineering,Computer Networks,Dr. Sarah Johnson,2023 Semester 2,Year 2,Female,56,9,2.04,6.5,Neutral,Teaching was satisfactory although the pace was sometimes fast.,9,63,9,teaching satisfactory although pace sometimes fast,Neutral
455,635,7,3,8,6,7,4,10,5,Information Technology,Data Mining,Prof. Linda Wanjiru,2024 Semester 2,Year 4,Female,93,6,2.45,6.25,Neutral,The course was generally good but some topics needed more explanation.,11,70,11,course generally good topic needed explanation,Positive
410,338,5,2,4,6,9,10,9,4,Computer Science,Computer Networks,Dr. James Mwangi,2023 Semester 2,Year 4,Female,80,19,2.11,6.12,Neutral,The course was generally good but some topics needed more explanation.,11,70,11,course generally good topic needed explanation,Positive
648,567,9,3,8,1,4,9,10,9,Software Engineering,Database Systems,Dr. James Mwangi,2024 Semester 2,Year 2,Male,46,16,2.21,6.62,Neutral,The presentations were useful but could be more interactive.,9,60,9,presentation useful could interactive,Positive
317,584,8,8,5,8,6,6,9,4,Software Engineering,Operating Systems,Prof. Michael Kimani,2025 Semester 1,Year 2,Female,55,15,2.86,6.75,Neutral,Teaching was satisfactory although the pace was sometimes fast.,9,63,9,teaching satisfactory although pace sometimes fast,Neutral
676,493,9,4,4,9,4,3,6,7,Information Technology,Machine Learning,Dr. Grace Njeri,2025 Semester 1,Year 4,Female,83,7,2.46,5.75,Unsatisfied,The presentations were difficult to follow.,6,43,6,presentation difficult follow,Negative
224,883,7,4,4,2,8,6,7,4,Computer Science,Cloud Computing,Dr. Grace Njeri,2023 Semester 2,Year 3,Female,78,16,3.03,5.25,Unsatisfied,Assignments were confusing and lacked clear instructions.,7,57,7,assignment confusing lacked clear instruction,Neutral
818,104,8,5,4,2,7,9,4,4,Information Technology,Machine Learning,Dr. Grace Njeri,2024 Semester 2,Year 4,Male,70,5,2.51,5.38,Unsatisfied,Assignments were confusing and lacked clear instructions.,7,57,7,assignment confusing lacked clear instruction,Neutral
233,669,9,3,4,5,2,2,1,6,Computer Science,Database Systems,Prof. Linda Wanjiru,2024 Semester 2,Year 4,Male,62,16,3.88,4.0,Unsatisfied,More practical examples are needed during lectures.,7,51,7,practical example needed lecture,Positive
683,170,5,10,7,2,8,5,9,5,Cyber Security,Cloud Computing,Dr. Grace Njeri,2025 Semester 1,Year 3,Female,65,1,3.81,6.38,Neutral,The presentations were useful but could be more interactive.,9,60,9,presentation useful could interactive,Positive
663,291,10,3,7,8,2,10,3,3,Data Science,Data Mining,Dr. James Mwangi,2023 Semester 2,Year 3,Female,80,19,3.13,5.75,Unsatisfied,I would not recommend this course without improvements.,8,55,8,would recommend course without improvement,Neutral
974,659,9,4,8,10,6,6,3,8,Data Science,Artificial Intelligence,Prof. Linda Wanjiru,2024 Semester 2,Year 2,Female,84,5,2.71,6.75,Neutral,The presentations were useful but could be more interactive.,9,60,9,presentation useful could interactive,Positive
826,284,5,7,6,3,10,3,8,6,Data Science,Database Systems,Dr. Sarah Johnson,2025 Semester 1,Year 2,Male,96,7,2.76,6.0,Neutral,Overall the learning experience was acceptable.,6,47,6,overall learning experience acceptable,Neutral
373,980,6,3,7,1,5,4,9,4,Information Technology,Database Systems,Dr. Grace Njeri,2024 Semester 1,Year 4,Female,90,19,2.82,4.88,Unsatisfied,More practical examples are needed during lectures.,7,51,7,practical example needed lecture,Positive
671,423,7,9,5,10,10,7,7,3,Cyber Security,Operating Systems,Dr. Grace Njeri,2023 Semester 2,Year 3,Female,88,22,3.46,7.25,Neutral,Teaching was satisfactory although the pace was sometimes fast.,9,63,9,teaching satisfactory although pace sometimes fast,Neutral
607,513,9,10,7,7,9,2,10,1,Computer Science,Machine Learning,Dr. Sarah Johnson,2024 Semester 1,Year 2,Female,66,5,2.9,6.88,Neutral,The course was generally good but some topics needed more explanation.,11,70,11,course generally good topic needed explanation,Positive
471,130,7,9,5,9,3,2,5,4,Software Engineering,Database Systems,Dr. Grace Njeri,2023 Semester 2,Year 4,Male,97,17,3.71,5.5,Unsatisfied,The presentations were difficult to follow.,6,43,6,presentation difficult follow,Negative
232,167,7,7,5,8,6,9,9,8,Computer Science,Database Systems,Dr. Sarah Johnson,2025 Semester 1,Year 3,Female,74,22,3.89,7.38,Neutral,Overall the learning experience was acceptable.,6,47,6,overall learning experience acceptable,Neutral
691,366,9,9,8,2,1,10,5,2,Software Engineering,Data Mining,Prof. Linda Wanjiru,2024 Semester 2,Year 4,Female,94,8,2.67,5.75,Unsatisfied,Course organization could be significantly improved.,6,52,6,course organization could significantly improved,Positive
112,544,10,7,8,4,6,5,7,8,Computer Science,Data Mining,Dr. James Mwangi,2024 Semester 2,Year 2,Male,87,1,3.12,6.88,Neutral,Assignments were manageable but could include more practical work.,9,66,9,assignment manageable could include practical work,Positive
829,51,7,2,6,2,8,2,10,2,Cyber Security,Cloud Computing,Dr. Sarah Johnson,2024 Semester 2,Year 2,Male,74,2,2.19,4.88,Unsatisfied,There were too few opportunities to ask questions.,8,50,8,opportunity ask question,Neutral
496,336,8,10,4,5,6,7,2,3,Software Engineering,Computer Networks,Prof. Michael Kimani,2023 Semester 2,Year 3,Female,52,15,2.4,5.62,Unsatisfied,More practical examples are needed during lectures.,7,51,7,practical example needed lecture,Positive
441,970,10,9,5,7,6,7,4,7,Information Technology,Computer Networks,Dr. Sarah Johnson,2025 Semester 1,Year 4,Male,78,20,2.83,6.88,Neutral,The course was generally good but some topics needed more explanation.,11,70,11,course generally good topic needed explanation,Positive
563,776,8,3,7,6,3,7,6,7,Computer Science,Artificial Intelligence,Dr. Grace Njeri,2024 Semester 1,Year 3,Female,91,18,2.41,5.88,Unsatisfied,Feedback on assessments was delayed.,5,36,5,feedback assessment delayed,Neutral
267,939,10,10,7,4,1,2,3,9,Computer Science,Computer Networks,Prof. Linda Wanjiru,2025 Semester 1,Year 2,Male,53,11,3.75,5.75,Unsatisfied,There were too few opportunities to ask questions.,8,50,8,opportunity ask question,Neutral
509,409,8,9,7,3,10,4,6,1,Software Engineering,Operating Systems,Prof. Linda Wanjiru,2024 Semester 1,Year 2,Male,95,10,2.32,6.0,Neutral,The course was generally good but some topics needed more explanation.,11,70,11,course generally good topic needed explanation,Positive
806,596,5,8,7,7,1,2,10,3,Information Technology,Artificial Intelligence,Dr. Sarah Johnson,2023 Semester 2,Year 4,Female,64,24,2.91,5.38,Unsatisfied,I would not recommend this course without improvements.,8,55,8,would recommend course without improvement,Neutral
385,991,7,4,5,8,9,8,5,1,Information Technology,Cloud Computing,Dr. James Mwangi,2023 Semester 2,Year 4,Female,84,24,3.21,5.88,Unsatisfied,Assignments were confusing and lacked clear instructions.,7,57,7,assignment confusing lacked clear instruction,Neutral
386,676,9,8,5,7,4,10,2,6,Cyber Security,Data Mining,Prof. Michael Kimani,2024 Semester 1,Year 4,Female,69,4,3.38,6.38,Neutral,Teaching was satisfactory although the pace was sometimes fast.,9,63,9,teaching satisfactory although pace sometimes fast,Neutral
112,544,10,7,8,4,6,5,7,8,Information Technology,Computer Networks,Prof. Linda Wanjiru,2024 Semester 1,Year 3,Male,63,5,2.77,6.88,Neutral,The presentations were useful but could be more interactive.,9,60,9,presentation useful could interactive,Positive
612,73,7,2,5,6,3,1,1,4,Information Technology,Machine Learning,Dr. Grace Njeri,2024 Semester 1,Year 4,Female,49,4,3.74,3.62,Unsatisfied,Assignments were confusing and lacked clear instructions.,7,57,7,assignment confusing lacked clear instruction,Neutral
624,64,6,2,8,1,8,4,8,4,Information Technology,Data Mining,Dr. Grace Njeri,2025 Semester 1,Year 4,Female,55,13,3.14,5.12,Unsatisfied,Assignments were confusing and lacked clear instructions.,7,57,7,assignment confusing lacked clear instruction,Neutral
951,761,5,9,6,10,10,1,10,6,Data Science,Operating Systems,Dr. James Mwangi,2024 Semester 1,Year 2,Female,59,13,2.88,7.12,Neutral,Teaching was satisfactory although the pace was sometimes fast.,9,63,9,teaching satisfactory although pace sometimes fast,Neutral
80,742,7,7,8,2,1,1,8,1,Cyber Security,Data Mining,Prof. Linda Wanjiru,2023 Semester 2,Year 2,Female,52,18,2.13,4.38,Unsatisfied,There were too few opportunities to ask questions.,8,50,8,opportunity ask question,Neutral
698,309,5,8,4,9,2,1,4,5,Computer Science,Operating Systems,Dr. Sarah Johnson,2023 Semester 2,Year 4,Female,63,24,2.93,4.75,Unsatisfied,There were too few opportunities to ask questions.,8,50,8,opportunity ask question,Neutral
112,544,10,7,8,4,6,5,7,8,Software Engineering,Operating Systems,Dr. Grace Njeri,2024 Semester 2,Year 4,Male,67,2,3.64,6.88,Neutral,Overall the learning experience was acceptable.,6,47,6,overall learning experience acceptable,Neutral
1,253,6,5,8,6,2,1,2,9,Computer Science,Operating Systems,Dr. James Mwangi,2024 Semester 1,Year 2,Female,71,16,3.23,4.88,Unsatisfied,Feedback on assessments was delayed.,5,36,5,feedback assessment delayed,Neutral
641,335,5,3,4,2,8,4,7,6,Cyber Security,Cloud Computing,Prof. Linda Wanjiru,2025 Semester 1,Year 4,Female,84,1,3.66,4.88,Unsatisfied,The presentations were difficult to follow.,6,43,6,presentation difficult follow,Negative
219,444,8,2,6,10,7,2,4,8,Software Engineering,Operating Systems,Prof. Linda Wanjiru,2025 Semester 1,Year 3,Male,76,19,2.99,5.88,Unsatisfied,The lecturer moved too quickly through difficult topics.,8,56,8,lecturer moved quickly difficult topic,Neutral
565,679,10,6,4,5,10,9,6,7,Cyber Security,Operating Systems,Prof. Linda Wanjiru,2025 Semester 1,Year 3,Female,70,9,2.24,7.12,Neutral,The course was generally good but some topics needed more explanation.,11,70,11,course generally good topic needed explanation,Positive
854,675,8,7,8,9,8,6,2,8,Information Technology,Machine Learning,Prof. Linda Wanjiru,2024 Semester 2,Year 3,Female,71,3,2.03,7.0,Neutral,The presentations were useful but could be more interactive.,9,60,9,presentation useful could interactive,Positive
996,55,8,7,6,2,5,7,7,9,Software Engineering,Artificial Intelligence,Prof. Linda Wanjiru,2023 Semester 2,Year 4,Female,63,7,2.61,6.38,Neutral,Assignments were manageable but could include more practical work.,9,66,9,assignment manageable could include practical work,Positive
735,247,6,9,6,5,2,2,3,7,Information Technology,Database Systems,Dr. Grace Njeri,2025 Semester 1,Year 2,Female,94,10,3.4,5.0,Unsatisfied,The lecturer moved too quickly through difficult topics.,8,56,8,lecturer moved quickly difficult topic,Neutral
224,883,7,4,4,2,8,6,7,4,Computer Science,Artificial Intelligence,Dr. James Mwangi,2023 Semester 2,Year 4,Female,86,1,3.58,5.25,Unsatisfied,Feedback on assessments was delayed.,5,36,5,feedback assessment delayed,Neutral
384,705,9,3,6,3,3,5,1,2,Computer Science,Operating Systems,Prof. Linda Wanjiru,2024 Semester 2,Year 4,Male,73,10,2.59,4.0,Unsatisfied,The presentations were difficult to follow.,6,43,6,presentation difficult follow,Negative
402,19,10,4,6,3,9,10,9,3,Software Engineering,Machine Learning,Prof. Michael Kimani,2024 Semester 1,Year 2,Male,83,21,2.99,6.75,Neutral,The presentations were useful but could be more interactive.,9,60,9,presentation useful could interactive,Positive
637,848,9,9,6,1,9,2,8,6,Software Engineering,Data Mining,Prof. Michael Kimani,2024 Semester 1,Year 2,Male,85,9,2.84,6.25,Neutral,Overall the learning experience was acceptable.,6,47,6,overall learning experience acceptable,Neutral
129,300,6,8,4,5,5,9,5,4,Cyber Security,Machine Learning,Dr. James Mwangi,2024 Semester 1,Year 2,Female,77,15,2.82,5.75,Unsatisfied,There were too few opportunities to ask questions.,8,50,8,opportunity ask question,Neutral
52,798,7,2,8,7,10,5,3,5,Cyber Security,Operating Systems,Dr. Sarah Johnson,2025 Semester 1,Year 3,Male,63,15,2.46,5.88,Unsatisfied,I would not recommend this course without improvements.,8,55,8,would recommend course without improvement,Neutral
683,170,5,10,7,2,8,5,9,5,Information Technology,Machine Learning,Dr. Sarah Johnson,2024 Semester 1,Year 4,Female,81,3,2.27,6.38,Neutral,The presentations were useful but could be more interactive.,9,60,9,presentation useful could interactive,Positive
729,575,9,4,7,7,1,1,5,1,Software Engineering,Computer Networks,Dr. Sarah Johnson,2025 Semester 1,Year 2,Female,63,5,2.39,4.38,Unsatisfied,The presentations were difficult to follow.,6,43,6,presentation difficult follow,Negative
671,423,7,9,5,10,10,7,7,3,Computer Science,Machine Learning,Prof. Michael Kimani,2024 Semester 2,Year 4,Female,77,9,2.11,7.25,Neutral,Teaching was satisfactory although the pace was sometimes fast.,9,63,9,teaching satisfactory although pace sometimes fast,Neutral
709,887,6,9,5,8,9,7,6,2,Cyber Security,Operating Systems,Dr. Sarah Johnson,2024 Semester 2,Year 3,Male,91,22,2.4,6.5,Neutral,Overall the learning experience was acceptable.,6,47,6,overall learning experience acceptable,Neutral
415,58,9,3,7,1,2,3,10,7,Cyber Security,Cloud Computing,Dr. Grace Njeri,2025 Semester 1,Year 3,Male,60,9,2.02,5.25,Unsatisfied,The lecturer moved too quickly through difficult topics.,8,56,8,lecturer moved quickly difficult topic,Neutral
246,940,7,3,6,9,10,8,3,5,Computer Science,Computer Networks,Prof. Linda Wanjiru,2023 Semester 2,Year 2,Male,67,23,3.25,6.38,Neutral,The course was generally good but some topics needed more explanation.,11,70,11,course generally good topic needed explanation,Positive
835,974,8,10,4,2,4,9,8,7,Cyber Security,Machine Learning,Prof. Michael Kimani,2024 Semester 1,Year 2,Female,51,7,2.63,6.5,Neutral,The course was generally good but some topics needed more explanation.,11,70,11,course generally good topic needed explanation,Positive
438,261,9,9,7,7,4,10,5,9,Information Technology,Database Systems,Dr. James Mwangi,2024 Semester 1,Year 4,Male,70,24,3.95,7.5,Neutral,The presentations were useful but could be more interactive.,9,60,9,presentation useful could interactive,Positive
202,946,5,5,5,6,1,3,10,5,Software Engineering,Database Systems,Dr. James Mwangi,2024 Semester 1,Year 2,Female,76,23,2.39,5.0,Unsatisfied,The lecturer moved too quickly through difficult topics.,8,56,8,lecturer moved quickly difficult topic,Neutral
183,406,9,10,6,1,6,1,9,2,Computer Science,Machine Learning,Prof. Linda Wanjiru,2025 Semester 1,Year 4,Male,56,12,2.69,5.5,Unsatisfied,There were too few opportunities to ask questions.,8,50,8,opportunity ask question,Neutral
122,80,7,6,4,1,5,6,1,8,Software Engineering,Cloud Computing,Prof. Michael Kimani,2024 Semester 2,Year 2,Male,52,9,2.72,4.75,Unsatisfied,There were too few opportunities to ask questions.,8,50,8,opportunity ask question,Neutral
400,554,6,6,8,2,4,6,4,10,Cyber Security,Data Mining,Dr. Sarah Johnson,2024 Semester 1,Year 4,Female,49,6,2.02,5.75,Unsatisfied,Assignments were confusing and lacked clear instructions.,7,57,7,assignment confusing lacked clear instruction,Neutral
766,456,10,4,8,6,5,1,10,1,Cyber Security,Operating Systems,Dr. Sarah Johnson,2024 Semester 2,Year 4,Female,86,23,3.68,5.62,Unsatisfied,Assignments were confusing and lacked clear instructions.,7,57,7,assignment confusing lacked clear instruction,Neutral
293,190,8,6,7,5,6,4,3,8,Computer Science,Database Systems,Dr. Grace Njeri,2024 Semester 1,Year 4,Male,72,2,2.06,5.88,Unsatisfied,More practical examples are needed during lectures.,7,51,7,practical example needed lecture,Positive
279,378,9,8,7,2,4,7,2,6,Information Technology,Data Mining,Dr. Grace Njeri,2024 Semester 1,Year 4,Male,97,9,3.88,5.62,Unsatisfied,The lecturer moved too quickly through difficult topics.,8,56,8,lecturer moved quickly difficult topic,Neutral
836,683,6,9,4,8,5,5,1,10,Data Science,Machine Learning,Dr. Sarah Johnson,2025 Semester 1,Year 3,Male,49,17,3.78,6.0,Neutral,Overall the learning experience was acceptable.,6,47,6,overall learning experience acceptable,Neutral
883,629,8,3,7,4,4,8,1,10,Computer Science,Data Mining,Dr. James Mwangi,2023 Semester 2,Year 4,Female,93,1,3.07,5.62,Unsatisfied,I would not recommend this course without improvements.,8,55,8,would recommend course without improvement,Neutral
609,8,6,7,6,10,6,9,9,10,Data Science,Computer Networks,Dr. James Mwangi,2025 Semester 1,Year 2,Female,70,19,3.09,7.88,Neutral,Overall the learning experience was acceptable.,6,47,6,overall learning experience acceptable,Neutral
197,445,9,4,4,2,4,8,1,6,Data Science,Artificial Intelligence,Dr. Grace Njeri,2024 Semester 1,Year 3,Male,49,6,3.31,4.75,Unsatisfied,Feedback on assessments was delayed.,5,36,5,feedback assessment delayed,Neutral
981,579,10,3,7,8,9,1,8,8,Information Technology,Database Systems,Prof. Linda Wanjiru,2024 Semester 1,Year 3,Male,66,5,2.77,6.75,Neutral,Assignments were manageable but could include more practical work.,9,66,9,assignment manageable could include practical work,Positive
906,69,8,6,6,1,9,1,9,7,Data Science,Machine Learning,Dr. Sarah Johnson,2023 Semester 2,Year 4,Female,59,2,3.29,5.88,Unsatisfied,Course organization could be significantly improved.,6,52,6,course organization could significantly improved,Positive
510,546,7,7,5,1,9,8,1,1,Data Science,Operating Systems,Dr. Grace Njeri,2024 Semester 2,Year 3,Male,57,9,2.09,4.88,Unsatisfied,Course organization could be significantly improved.,6,52,6,course organization could significantly improved,Positive
751,348,7,9,5,6,5,5,8,6,Information Technology,Cloud Computing,Dr. Grace Njeri,2024 Semester 2,Year 4,Female,72,14,2.11,6.38,Neutral,Assignments were manageable but could include more practical work.,9,66,9,assignment manageable could include practical work,Positive
143,59,5,8,5,6,10,3,4,10,Data Science,Computer Networks,Dr. Sarah Johnson,2024 Semester 1,Year 2,Female,77,4,2.91,6.38,Neutral,Overall the learning experience was acceptable.,6,47,6,overall learning experience acceptable,Neutral
608,722,7,10,5,5,4,9,6,7,Data Science,Machine Learning,Dr. Sarah Johnson,2024 Semester 2,Year 4,Female,87,4,3.1,6.62,Neutral,Overall the learning experience was acceptable.,6,47,6,overall learning experience acceptable,Neutral
200,484,9,6,8,10,3,2,8,4,Data Science,Operating Systems,Dr. James Mwangi,2024 Semester 1,Year 3,Female,67,21,3.78,6.25,Neutral,Teaching was satisfactory although the pace was sometimes fast.,9,63,9,teaching satisfactory although pace sometimes fast,Neutral
123,473,10,10,7,5,2,6,10,5,Computer Science,Cloud Computing,Prof. Linda Wanjiru,2023 Semester 2,Year 2,Female,77,15,2.21,6.88,Neutral,Assignments were manageable but could include more practical work.,9,66,9,assignment manageable could include practical work,Positive
186,61,9,8,6,5,3,10,6,6,Computer Science,Cloud Computing,Prof. Linda Wanjiru,2023 Semester 2,Year 4,Female,87,8,3.65,6.62,Neutral,The course was generally good but some topics needed more explanation.,11,70,11,course generally good topic needed explanation,Positive
325,196,8,10,8,10,6,7,7,7,Computer Science,Machine Learning,Dr. Sarah Johnson,2024 Semester 1,Year 2,Male,62,4,2.42,7.88,Neutral,The course was generally good but some topics needed more explanation.,11,70,11,course generally good topic needed explanation,Positive
463,914,9,2,4,2,4,2,2,9,Information Technology,Computer Networks,Prof. Michael Kimani,2023 Semester 2,Year 2,Female,94,16,2.79,4.25,Unsatisfied,There were too few opportunities to ask questions.,8,50,8,opportunity ask question,Neutral
348,209,9,8,5,3,3,10,7,2,Cyber Security,Data Mining,Dr. Grace Njeri,2025 Semester 1,Year 3,Female,97,21,2.63,5.88,Unsatisfied,There were too few opportunities to ask questions.,8,50,8,opportunity ask question,Neutral
770,477,5,2,5,6,10,6,10,8,Data Science,Data Mining,Dr. Grace Njeri,2025 Semester 1,Year 2,Male,74,4,2.8,6.5,Neutral,Overall the learning experience was acceptable.,6,47,6,overall learning experience acceptable,Neutral
659,566,8,10,6,10,7,6,6,1,Data Science,Cloud Computing,Dr. Sarah Johnson,2023 Semester 2,Year 3,Female,70,16,2.3,6.75,Neutral,The course was generally good but some topics needed more explanation.,11,70,11,course generally good topic needed explanation,Positive
763,563,7,4,8,8,7,3,3,10,Information Technology,Data Mining,Prof. Michael Kimani,2024 Semester 1,Year 2,Male,60,22,3.01,6.25,Neutral,The presentations were useful but could be more interactive.,9,60,9,presentation useful could interactive,Positive
954,365,10,5,5,3,5,2,3,5,Data Science,Artificial Intelligence,Dr. James Mwangi,2024 Semester 1,Year 4,Female,57,12,3.6,4.75,Unsatisfied,More practical examples are needed during lectures.,7,51,7,practical example needed lecture,Positive
931,333,6,3,7,6,9,9,9,1,Computer Science,Cloud Computing,Dr. Sarah Johnson,2023 Semester 2,Year 2,Male,83,16,2.88,6.25,Neutral,Teaching was satisfactory although the pace was sometimes fast.,9,63,9,teaching satisfactory although pace sometimes fast,Neutral
402,19,10,4,6,3,9,10,9,3,Cyber Security,Cloud Computing,Dr. Sarah Johnson,2024 Semester 2,Year 4,Male,77,19,2.98,6.75,Neutral,The presentations were useful but could be more interactive.,9,60,9,presentation useful could interactive,Positive
345,396,6,10,4,6,1,2,4,10,Software Engineering,Operating Systems,Dr. Grace Njeri,2025 Semester 1,Year 4,Female,70,8,3.7,5.38,Unsatisfied,The lecturer moved too quickly through difficult topics.,8,56,8,lecturer moved quickly difficult topic,Neutral
962,852,5,10,5,4,3,10,8,6,Data Science,Data Mining,Dr. Sarah Johnson,2024 Semester 2,Year 2,Female,92,6,3.41,6.38,Neutral,Assignments were manageable but could include more practical work.,9,66,9,assignment manageable could include practical work,Positive
510,546,7,7,5,1,9,8,1,1,Computer Science,Computer Networks,Dr. Sarah Johnson,2024 Semester 1,Year 4,Female,45,10,2.98,4.88,Unsatisfied,The lecturer moved too quickly through difficult topics.,8,56,8,lecturer moved quickly difficult topic,Neutral
146,955,10,4,4,1,10,1,10,10,Software Engineering,Cloud Computing,Dr. Sarah Johnson,2024 Semester 1,Year 2,Female,93,5,2.52,6.25,Neutral,Teaching was satisfactory although the pace was sometimes fast.,9,63,9,teaching satisfactory although pace sometimes fast,Neutral
147,758,8,3,7,7,9,6,7,5,Cyber Security,Computer Networks,Dr. Grace Njeri,2024 Semester 2,Year 2,Male,82,18,3.77,6.5,Neutral,Teaching was satisfactory although the pace was sometimes fast.,9,63,9,teaching satisfactory although pace sometimes fast,Neutral
863,597,5,4,8,4,8,7,3,4,Software Engineering,Artificial Intelligence,Dr. James Mwangi,2023 Semester 2,Year 4,Male,46,10,3.15,5.38,Unsatisfied,There were too few opportunities to ask questions.,8,50,8,opportunity ask question,Neutral
710,582,8,4,7,8,1,5,9,3,Computer Science,Operating Systems,Dr. James Mwangi,2024 Semester 2,Year 4,Male,93,10,2.44,5.62,Unsatisfied,Course organization could be significantly improved.,6,52,6,course organization could significantly improved,Positive
819,964,8,5,5,3,10,5,5,3,Software Engineering,Machine Learning,Dr. Sarah Johnson,2024 Semester 2,Year 3,Female,50,7,2.54,5.5,Unsatisfied,More practical examples are needed during lectures.,7,51,7,practical example needed lecture,Positive
488,492,6,5,8,10,3,8,3,2,Information Technology,Computer Networks,Dr. Grace Njeri,2025 Semester 1,Year 4,Male,90,18,3.61,5.62,Unsatisfied,The presentations were difficult to follow.,6,43,6,presentation difficult follow,Negative
928,847,7,10,5,7,1,9,10,4,Software Engineering,Cloud Computing,Dr. James Mwangi,2025 Semester 1,Year 3,Female,94,1,2.09,6.62,Neutral,The presentations were useful but could be more interactive.,9,60,9,presentation useful could interactive,Positive
935,700,9,8,6,1,9,6,9,1,Data Science,Artificial Intelligence,Dr. James Mwangi,2024 Semester 2,Year 4,Female,82,7,3.98,6.12,Neutral,Overall the learning experience was acceptable.,6,47,6,overall learning experience acceptable,Neutral
639,107,9,4,8,6,10,4,5,9,Data Science,Database Systems,Dr. James Mwangi,2024 Semester 2,Year 2,Male,86,21,2.26,6.88,Neutral,Teaching was satisfactory although the pace was sometimes fast.,9,63,9,teaching satisfactory although pace sometimes fast,Neutral
